Date,Americanas,Ibovespa,CVC,MAGALU,WEG
2020-01-02,65.18000030517578,114.23999786376953,44.709999084472656,12.332500457763672,17.6200008392334
2020-01-03,64.30000305175781,113.80000305175781,44.20000076293945,12.22249984741211,17.395000457763672
2020-01-06,63.900001525878906,112.58999633789062,43.81999969482422,12.232500076293945,17.440000534057617
2020-01-07,63.7400016784668,112.23999786376953,44.400001525878906,12.197500228881836,17.575000762939453
2020-01-08,64.58999633789062,111.94999694824219,44.34000015258789,12.572500228881836,16.90999984741211
2020-01-09,68.04000091552734,111.66000366210938,43.38999938964844,13.020000457763672,16.65999984741211
2020-01-10,66.77999877929688,111.27999877929688,42.040000915527344,12.949999809265137,17.0
2020-01-13,69.16999816894531,113.08000183105469,41.599998474121094,13.557499885559082,17.15999984741211
2020-01-14,68.3499984741211,113.31999969482422,42.5,13.5,17.5
2020-01-15,70.11000061035156,112.18000030517578,41.38999938964844,13.414999961853027,17.614999771118164
2020-01-16,70.36000061035156,112.3499984741211,41.06999969482422,13.364999771118164,17.934999465942383
2020-01-17,71.26000213623047,114.0999984741211,41.63999938964844,13.587499618530273,18.399999618530273
2020-01-20,75.68000030517578,114.41000366210938,41.0,14.0,18.96500015258789
2020-01-21,76.55999755859375,112.6500015258789,39.33000183105469,13.977499961853027,18.7450008392334
2020-01-22,75.8499984741211,114.0999984741211,39.7400016784668,13.922499656677246,19.450000762939453
2020-01-23,75.3499984741211,115.20999908447266,40.40999984741211,14.145000457763672,19.825000762939453
2020-01-24,74.25,114.0,39.540000915527344,14.037500381469727,20.71500015258789
2020-01-27,72.12999725341797,110.29000091552734,37.81999969482422,13.449999809265137,20.485000610351562
2020-01-28,75.05000305175781,112.30000305175781,38.40999984741211,14.2475004196167,21.0049991607666
2020-01-29,75.44000244140625,110.87999725341797,37.0099983215332,14.322500228881836,21.19499969482422
2020-01-30,74.0,111.19000244140625,36.22999954223633,14.125,20.485000610351562
2020-01-31,71.19999694824219,108.9000015258789,36.5,13.949999809265137,19.704999923706055
2020-02-03,71.41999816894531,110.41999816894531,36.65999984741211,14.132499694824219,20.334999084472656
2020-02-04,73.44999694824219,111.20999908447266,37.20000076293945,14.414999961853027,20.260000228881836
2020-02-05,73.5,111.7699966430664,37.0,14.324999809265137,20.684999465942383
2020-02-06,71.5,110.94999694824219,36.52000045776367,13.957500457763672,21.420000076293945
2020-02-07,67.95999908447266,109.3499984741211,35.0,13.557499885559082,20.549999237060547
2020-02-10,65.7699966430664,108.79000091552734,32.88999938964844,13.095000267028809,20.764999389648438
2020-02-11,70.5999984741211,111.30000305175781,34.599998474121094,13.567500114440918,21.524999618530273
2020-02-12,70.93000030517578,112.44999694824219,33.7400016784668,13.984999656677246,22.280000686645508
2020-02-13,73.33000183105469,110.9000015258789,33.880001068115234,14.262499809265137,22.78499984741211
2020-02-14,70.5999984741211,110.08000183105469,33.099998474121094,14.082500457763672,22.78499984741211
2020-02-17,71.6500015258789,110.80000305175781,33.34000015258789,14.712499618530273,22.889999389648438
2020-02-18,71.75738525390625,111.13999938964844,30.589296340942383,14.555000305175781,22.350000381469727
2020-02-19,72.9533462524414,112.08000183105469,30.673980712890625,14.46500015258789,24.40999984741211
2020-02-20,70.75079345703125,110.19999694824219,30.17529296875,14.135000228881836,23.7450008392334
2020-02-21,72.51482391357422,109.44999694824219,29.05559730529785,14.112500190734863,24.899999618530273
2020-02-26,65.45868682861328,101.9000015258789,25.762380599975586,13.220000267028809,23.415000915527344
2020-02-27,62.49869155883789,99.19999694824219,24.6615047454834,12.5625,21.985000610351562
2020-02-28,61.94057846069336,100.5999984741211,24.209861755371094,12.630000114440918,21.575000762939453
2020-03-02,63.13653564453125,102.98999786376953,21.641151428222656,13.137499809265137,23.4950008392334
2020-03-03,66.285888671875,101.75,21.18010139465332,13.212499618530273,23.959999084472656
2020-03-04,68.34891510009766,103.0999984741211,20.869596481323242,13.112500190734863,24.229999542236328
2020-03-05,62.1399040222168,98.79000091552734,18.81839370727539,11.947500228881836,23.350000381469727
2020-03-06,56.0704231262207,94.4000015258789,21.528240203857422,11.332500457763672,22.010000228881836
2020-03-09,49.08404541015625,82.69999694824219,18.347932815551758,10.09000015258789,19.875
2020-03-10,54.73493957519531,88.62999725341797,20.474411010742188,11.7475004196167,20.954999923706055
2020-03-11,51.61548614501953,82.05999755859375,18.103294372558594,10.770000457763672,19.600000381469727
2020-03-12,42.855106353759766,70.0999984741211,12.83414363861084,8.5,16.5
2020-03-13,54.59541320800781,79.48999786376953,14.443116188049316,10.5,17.264999389648438
2020-03-16,49.33320236206055,68.4000015258789,9.785564422607422,8.517499923706055,13.704999923706055
2020-03-17,53.51905059814453,71.0,9.362150192260742,8.892499923706055,14.34000015258789
2020-03-18,50.82815170288086,65.01000213623047,6.106567859649658,7.202499866485596,13.234999656677246
2020-03-19,48.50600051879883,65.0,7.009850978851318,7.637499809265137,14.364999771118164
2020-03-20,49.04418182373047,64.7699966430664,7.724949836730957,7.662499904632568,16.184999465942383
2020-03-23,45.18722152709961,61.13999938964844,7.160398006439209,7.552499771118164,17.600000381469727
2020-03-24,54.6153450012207,67.4000015258789,8.23304557800293,9.170000076293945,18.030000686645508
2020-03-25,59.79782485961914,71.7300033569336,8.797597885131836,10.0,18.68000030517578
2020-03-26,55.92093276977539,74.56999969482422,11.648585319519043,10.279999732971191,18.975000381469727
2020-03-27,51.10720443725586,70.22000122070312,12.08140754699707,9.75,17.68000030517578
2020-03-30,50.81818389892578,71.97000122070312,12.184908866882324,10.399999618530273,17.010000228881836
